Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.86     0.00        3     0.00     0.00  luaL_addvalue
  0.00      0.86     0.00        3     0.00     0.00  luaL_checkstack
  0.00      0.86     0.00        3     0.00     0.00  luaL_fileresult
  0.00      0.86     0.00        3     0.00     0.00  luaL_prepbuffsize
  0.00      0.86     0.00        3     0.00     0.00  luaL_testudata
  0.00      0.86     0.00        3     0.00     0.00  luaT_callorderTM
  0.00      0.86     0.00        3     0.00     0.00  lua_iscfunction
  0.00      0.86     0.00        3     0.00     0.00  luaopen_coroutine
  0.00      0.86     0.00        3     0.00     0.00  new_localvar
  0.00      0.86     0.00        3     0.00     0.00  newupvalue
  0.00      0.86     0.00        3     0.00     0.00  os_date
  0.00      0.86     0.00        3     0.00     0.00  str_gsub
  0.00      0.86     0.00        3     0.00     0.00  sub_ref_func
  0.00      0.86     0.00        3     0.00     0.00  subexpr
  0.00      0.86     0.00        3     0.00     0.00  traverseLclosure
  0.00      0.86     0.00        3     0.00     0.00  unpack
  0.00      0.86     0.00        2     0.00     0.00  codepoint
  0.00      0.86     0.00        2     0.00     0.00  finishCcall
  0.00      0.86     0.00        2     0.00     0.00  iscleared
  0.00      0.86     0.00        2     0.00     0.00  list_create
  0.00      0.86     0.00        2     0.00     0.00  list_del
  0.00      0.86     0.00        2     0.00     0.00  luaK_prefix
  0.00      0.86     0.00        2     0.00     0.00  luaL_pushresult
  0.00      0.86     0.00        2     0.00     0.00  math_fmod
  0.00      0.86     0.00        2     0.00     0.00  mem_malloc
  0.00      0.86     0.00        2     0.00     0.00  os_time
  0.00      0.86     0.00        2     0.00     0.00  resume
  0.00      0.86     0.00        2     0.00     0.00  searchpath
  0.00      0.86     0.00        2     0.00     0.00  setobj2s
  0.00      0.86     0.00        2     0.00     0.00  test_then_block
  0.00      0.86     0.00        1     0.00     0.00  _init
  0.00      0.86     0.00        1     0.00     0.00  addk
  0.00      0.86     0.00        1     0.00     0.00  adjust_assign
  0.00      0.86     0.00        1     0.00     0.00  byteoffset
  0.00      0.86     0.00        1     0.00     0.00  checkload
  0.00      0.86     0.00        1     0.00     0.00  checkoption
  0.00      0.86     0.00        1     0.00     0.00  closegoto
  0.00      0.86     0.00        1     0.00     0.00  codeunexpval
  0.00      0.86     0.00        1     0.00     0.00  findpcall
  0.00      0.86     0.00        1     0.00     0.00  forlimit
  0.00      0.86     0.00        1     0.00     0.00  getfield
  0.00      0.86     0.00        1     0.00     0.00  init_registry
  0.00      0.86     0.00        1     0.00     0.00  interror
  0.00      0.86     0.00        1     0.00     0.00  l_message
  0.00      0.86     0.00        1     0.00     0.00  list_remove
  0.00      0.86     0.00        1     0.00     0.00  luaC_barrierback_
  0.00      0.86     0.00        1     0.00     0.00  luaC_init
  0.00      0.86     0.00        1     0.00     0.00  luaC_newobjNotGC
  0.00      0.86     0.00        1     0.00     0.00  luaD_throw
  0.00      0.86     0.00        1     0.00     0.00  luaK_infix
  0.00      0.86     0.00        1     0.00     0.00  luaL_argerror
  0.00      0.86     0.00        1     0.00     0.00  luaL_checknumber
  0.00      0.86     0.00        1     0.00     0.00  luaL_optlstring
  0.00      0.86     0.00        1     0.00     0.00  lua_checkstack
  0.00      0.86     0.00        1     0.00     0.00  lua_createtable
  0.00      0.86     0.00        1     0.00     0.00  lua_pushlightuserdata
  0.00      0.86     0.00        1     0.00     0.00  lua_resume
  0.00      0.86     0.00        1     0.00     0.00  lua_xmove
  0.00      0.86     0.00        1     0.00     0.00  math_atan
  0.00      0.86     0.00        1     0.00     0.00  msghandler
  0.00      0.86     0.00        1     0.00     0.00  os_difftime
  0.00      0.86     0.00        1     0.00     0.00  os_tmpname
  0.00      0.86     0.00        1     0.00     0.00  pushglobalfuncname
  0.00      0.86     0.00        1     0.00     0.00  read_chars
  0.00      0.86     0.00        1     0.00     0.00  read_line
  0.00      0.86     0.00        1     0.00     0.00  stack_init
  0.00      0.86     0.00        1     0.00     0.00  stack_push2
  0.00      0.86     0.00        1     0.00     0.00  tconcat
  0.00      0.86     0.00        1     0.00     0.00  utfchar

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2018 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 1.16% of 0.86 seconds

index % time    self  children    called     name
[1]     43.5    0.28    0.09 14000816+20002010 <cycle 1 as a whole> [1]
                0.15    0.02 13200084             luaH_gset <cycle 1> [2]
                0.06    0.05 3600186+4           luaV_execute <cycle 1> [6]
                0.03    0.00 1600044+400015      luaH_del <cycle 1> [13]
                0.01    0.02 3599146             obj_destroy <cycle 1> [14]
                0.01    0.00 1600253             read_string <cycle 1> [33]
                0.01    0.00  800002             setobj2s <cycle 1> [34]
                0.01    0.00  800001             luaO_int2fb <cycle 1> [35]
                0.00    0.00     430             list_pop_front <cycle 1> [41]
                0.00    0.00  800007             luaH_free <cycle 1> [43]
                0.00    0.00      31             clean_const <cycle 1> [74]
                0.00    0.00      36             lua_settop <cycle 1> [84]
                0.00    0.00      13             mem_free <cycle 1> [124]
                0.00    0.00       3             os_date <cycle 1> [143]
                0.00    0.00       1             lua_resume <cycle 1> [175]
                0.00    0.00       2             os_time <cycle 1> [185]
                0.00    0.00  800005+3           luaO_pushvfstring <cycle 1> [187]
                0.00    0.00      25+11          luaY_parser <cycle 1> [201]
                0.00    0.00 3600174             luaH_get_next <cycle 1> [210]
                0.00    0.00 3600174             luaO_arith <cycle 1> [213]
                0.00    0.00     430             list_at <cycle 1> [215]
                0.00    0.00     336             list_addArray <cycle 1> [218]
                0.00    0.00     320             retstat <cycle 1> [219]
                0.00    0.00     187             lua_topointer <cycle 1> [221]
                0.00    0.00     176             lua_pushstring <cycle 1> [222]
                0.00    0.00     163             index2addr <cycle 1> [223]
                0.00    0.00     138             read_long_string <cycle 1> [224]
                0.00    0.00      97             mainfunc <cycle 1> [225]
                0.00    0.00      22+22          moveresults <cycle 1> [243]
                0.00    0.00      32             lua_rotate <cycle 1> [234]
                0.00    0.00      30             luaD_hook <cycle 1> [235]
                0.00    0.00      23             luaopen_base <cycle 1> [241]
                0.00    0.00      21             pushfuncname <cycle 1> [246]
                0.00    0.00      21             lua_tointegerx <cycle 1> [245]
                0.00    0.00      18             lastlevel <cycle 1> [250]
                0.00    0.00      17             lua_rawgeti <cycle 1> [254]
                0.00    0.00      16             luaT_init <cycle 1> [257]
                0.00    0.00      15             lua_tonumberx <cycle 1> [259]
                0.00    0.00      12             getF <cycle 1> [261]
                0.00    0.00       6+6           luaH_free_set <cycle 1> [283]
                0.00    0.00      11             luaL_tolstring <cycle 1> [266]
                0.00    0.00      11             lua_pushinteger <cycle 1> [267]
                0.00    0.00      10             luaL_getmetafield <cycle 1> [270]
                0.00    0.00      10             luaB_costatus <cycle 1> [268]
                0.00    0.00       9             read_all <cycle 1> [275]
                0.00    0.00       7+1           str_pack <cycle 1> [281]
                0.00    0.00       7             gc_collect <cycle 1> [279]
                0.00    0.00       7             constfolding <cycle 1> [278]
                0.00    0.00       2+4           mem_malloc <cycle 1> [323]
                0.00    0.00       6             lua_pushboolean <cycle 1> [284]
                0.00    0.00       6             sort_comp <cycle 1> [285]
                0.00    0.00       5             auxgetstr <cycle 1> [287]
                0.00    0.00       5             lua_settable <cycle 1> [290]
                0.00    0.00       4             setsvalue <cycle 1> [299]
                0.00    0.00       2+1           searchpath <cycle 1> [324]
                0.00    0.00       3             list_cache_clear <cycle 1> [303]
                0.00    0.00       3             luaopen_coroutine <cycle 1> [312]
                0.00    0.00       2             list_del <cycle 1> [319]
                0.00    0.00       2             luaL_pushresult <cycle 1> [321]
                0.00    0.00       2             math_fmod <cycle 1> [322]
                0.00    0.00       2             setobj2s <cycle 1> [325]
                0.00    0.00       1             luaC_init <cycle 1> [333]
                0.00    0.00       1             stack_init <cycle 1> [349]
                0.00    0.00       1             byteoffset <cycle 1> [327]
                0.00    0.00       1             checkload <cycle 1> [328]
                0.00    0.00       1             utfchar <cycle 1> [352]
                0.00    0.00       1             lua_pushlightuserdata <cycle 1> [340]
                0.00    0.00       1             tconcat <cycle 1> [351]
                0.00    0.00       1             read_chars <cycle 1> [347]
                0.00    0.00       1             read_line <cycle 1> [348]
                0.00    0.00       1             pushglobalfuncname <cycle 1> [346]
                0.00    0.00       1             math_atan <cycle 1> [342]
                0.00    0.00       1             lua_xmove <cycle 1> [341]
                0.00    0.00       1             stack_push2 <cycle 1> [350]
-----------------------------------------------
                                   1             os_time <cycle 1> [185]
                                   2             luaH_get_next <cycle 1> [210]
                                   3             luaopen_coroutine <cycle 1> [312]
                                   6             lua_pushboolean <cycle 1> [284]
                             5200006             luaV_execute <cycle 1> [6]
                0.00    0.00       3/14000816     lua_isinteger [116]
                0.00    0.00       8/14000816     l_strcmp [73]
                0.00    0.00       8/14000816     GCTM [77]
                0.00    0.00      16/14000816     udata2finalize [62]
                0.02    0.01  800002/14000816     luaO_pushfstring [12]
                0.02    0.01  800024/14000816     aux_upvalue [18]
                0.06    0.02 3200000/14000816     luaV_equalobj [3]
                0.06    0.02 3200005/14000816     LEintfloat [8]
